disease_id,disease_name,tier,has_mendelian_gene,genes,pathogenic_variants,pathogenic_snv,snv_at_panel_position,allele_match,strand_flip_match,best_review_stars_matched,matched_variation_ids
OMIM:617971,"Methemoglobinemia, Beta type",snv_fora_do_painel,True,HBB,5,5,0,0,0,,
OMIM:617973,"Methemoglobinemia, Alpha type",snv_fora_do_painel,True,HBA1,23,17,0,0,0,,
OMIM:617974,"Spondyloepimetaphyseal dysplasia, DI Rocco type",snv_fora_do_painel,True,UFSP2,4,4,0,0,0,,
OMIM:617976,"Epileptic encephalopathy, early infantile, 63",snv_fora_do_painel,True,CPLX1,3,2,0,0,0,,
OMIM:617977,Neurodevelopmental disorder with spastic quadriplegia and brain abnormalities with or without seizures,snv_fora_do_painel,True,WDR45B,3,3,0,0,0,,
OMIM:617980,Erythrocytosis 6,snv_fora_do_painel,True,HBB,40,40,0,0,0,,
OMIM:617981,Erythrocytosis 7,snv_fora_do_painel,True,HBA1;HBA2,60,43,0,0,0,,
OMIM:617982,Ververi-Brady syndrome,snv_fora_do_painel,True,QRICH1,6,3,0,0,0,,
OMIM:617983,"Microcephaly 21, primary, autosomal recessive",snv_fora_do_painel,True,NCAPD2,7,3,0,0,0,,
OMIM:617984,"Microcephaly 22, primary, autosomal recessive",snv_fora_do_painel,True,NCAPD3,8,6,0,0,0,,
OMIM:617985,"Microcephaly 23, primary, autosomal recessive",snv_fora_do_painel,True,NCAPH,2,2,0,0,0,,
OMIM:617988,Jaberi-Elahi syndrome,snv_fora_do_painel,True,GTPBP2,12,8,0,0,0,,
OMIM:617991,"Developmental delay, intellectual disability, obesity, and dysmorphic features",snv_fora_do_painel,True,PHIP,99,64,0,0,0,,
OMIM:617992,"Deafness, congenital heart defects, and posterior embryotoxon",snv_fora_do_painel,True,JAG1,15,8,0,0,0,,
OMIM:617993,"Tumoral calcinosis, hyperphosphatemic, familial, 2",snv_fora_do_painel,True,FGF23,5,5,0,0,0,,
